,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
295,BURUH/PRT,4000000.0,DIFFERENT,7000000,,36,513000,c) 1-30
296,PEDAGANG,7000000.0,DIFFERENT,9700000,3000000.0,57,548000,a) LANCAR
297,PEDAGANG,4500000.0,DIFFERENT,9000000,900000.0,43,301000,a) LANCAR
298,LAIN-LAIN,3700000.0,DIFFERENT,10000000,,25,507000,c) 1-30
299,PEDAGANG,4500000.0,DIFFERENT,5600000,1000000.0,51,520000,a) LANCAR
300,PEDAGANG,4500000.0,DIFFERENT,9000000,1500000.0,44,629000,a) LANCAR
301,JASA,3000000.0,DIFFERENT,7700000,1500000.0,55,441000,a) LANCAR
302,PEDAGANG,6000000.0,DIFFERENT,8000000,900000.0,49,560000,a) LANCAR
303,SOPIR/PENGEMUDI,3500000.0,DIFFERENT,5100000,2000000.0,48,401000,a) LANCAR
304,PEGAWAI SWASTA,3600000.0,SAME,9500000,,25,353000,a) LANCAR
305,PEGAWAI SWASTA,3000000.0,DIFFERENT,5800000,1700000.0,36,312000,a) LANCAR
306,PEDAGANG,3500000.0,DIFFERENT,9800000,,51,676000,a) LANCAR
307,PEDAGANG,4500000.0,DIFFERENT,9500000,,31,629000,a) LANCAR
308,JASA,4000000.0,DIFFERENT,9000000,1500000.0,23,515000,a) LANCAR
309,LAIN-LAIN,4000000.0,DIFFERENT,5300000,,40,354000,a) LANCAR
310,GURU/PENDIDIKAN,5500000.0,DIFFERENT,7000000,1500000.0,50,466000,a) LANCAR
311,DOKTER/BIDAN/MANTRI,4500000.0,DIFFERENT,8700000,2500000.0,27,552000,a) LANCAR
312,PEDAGANG,5000000.0,DIFFERENT,5300000,1250000.0,55,401000,a) LANCAR
313,PEGAWAI SWASTA,3000000.0,DIFFERENT,8400000,,25,788000,d) 31-60
314,PEDAGANG,5000000.0,DIFFERENT,16000000,2000000.0,33,727000,a) LANCAR
315,JASA,4500000.0,DIFFERENT,10000000,1500000.0,36,454000,a) LANCAR
316,PRODUKSI,3500000.0,DIFFERENT,3500000,,48,308000,a) LANCAR
317,PRODUKSI,4000000.0,DIFFERENT,8200000,,26,362000,a) LANCAR
318,JASA,5000000.0,DIFFERENT,15900000,,37,849000,c) 1-30
319,SOPIR/PENGEMUDI,4500000.0,SAME,4500000,1500000.0,49,494000,a) LANCAR
320,PEDAGANG,3000000.0,SAME,9800000,,49,564000,a) LANCAR
321,PETERNAK,4500000.0,DIFFERENT,15200000,1000000.0,51,564000,a) LANCAR
322,PEDAGANG,3000000.0,SAME,9800000,,25,520000,a) LANCAR
323,PEGAWAI NEGERI/BUMN,4500000.0,SAME,11000000,1200000.0,51,628000,a) LANCAR
324,PEDAGANG,2500000.0,SAME,17300000,,23,418000,a) LANCAR
325,PETANI,4500000.0,DIFFERENT,6600000,,42,353000,a) LANCAR
326,PEDAGANG,2600000.0,DIFFERENT,14200000,1200000.0,29,629000,a) LANCAR
327,PRODUKSI,3500000.0,DIFFERENT,13100000,1750000.0,50,669000,a) LANCAR
328,SOPIR/PENGEMUDI,3500000.0,DIFFERENT,17600000,1750000.0,39,727000,a) LANCAR
329,PEGAWAI NEGERI/BUMN,5000000.0,DIFFERENT,11500000,1700000.0,39,362000,a) LANCAR
330,PEGAWAI SWASTA,2500000.0,DIFFERENT,10500000,1750000.0,32,564000,c) 1-30
331,JASA,3000000.0,DIFFERENT,4200000,,49,308000,a) LANCAR
332,PEDAGANG,3000000.0,DIFFERENT,5800000,1000000.0,48,386000,a) LANCAR
333,SOPIR/PENGEMUDI,5000000.0,DIFFERENT,12500000,1400000.0,48,588000,a) LANCAR
334,PEDAGANG,3000000.0,DIFFERENT,5800000,,27,308000,a) LANCAR
335,PETANI,4000000.0,DIFFERENT,5500000,1500000.0,51,428000,c) 1-30
336,PEDAGANG,3500000.0,DIFFERENT,8000000,,48,607000,a) LANCAR
337,PEDAGANG,4400000.0,DIFFERENT,9900000,1000000.0,27,401000,a) LANCAR
338,GURU/PENDIDIKAN,4800000.0,SAME,9500000,3100000.0,34,480000,c) 1-30
339,PETANI,3000000.0,SAME,15000000,,46,693000,a) LANCAR
340,PEGAWAI SWASTA,4000000.0,DIFFERENT,8200000,,30,466000,a) LANCAR
341,PEDAGANG,5500000.0,DIFFERENT,9800000,1500000.0,24,726000,c) 1-30
342,PEDAGANG,3500000.0,DIFFERENT,10000000,1500000.0,33,579000,c) 1-30
343,PEDAGANG,4000000.0,DIFFERENT,10000000,9000000.0,32,676000,a) LANCAR
344,PETANI,3500000.0,DIFFERENT,5600000,1750000.0,51,433000,d) 31-60
345,PEDAGANG,4500000.0,DIFFERENT,4200000,1500000.0,41,354000,a) LANCAR
346,PEGAWAI NEGERI/BUMN,7000000.0,SAME,10500000,5000000.0,43,729000,a) LANCAR
347,Guru (Dosen),3000000.0,SAME,6300000,0.0,49,507000,a) LANCAR
348,PETERNAK,4900000.0,DIFFERENT,8100000,1000000.0,48,574000,a) LANCAR
349,PEDAGANG,4000000.0,DIFFERENT,8000000,1500000.0,42,450000,a) LANCAR
350,PETERNAK,7500000.0,DIFFERENT,24200000,1750000.0,43,1153000,a) LANCAR
351,PEDAGANG,4500000.0,DIFFERENT,13500000,1000000.0,28,533000,a) LANCAR
352,PEDAGANG,4500000.0,DIFFERENT,6300000,,52,343000,a) LANCAR
353,PEDAGANG,3500000.0,DIFFERENT,13200000,,54,645000,a) LANCAR
354,LAIN-LAIN,4500000.0,DIFFERENT,5800000,1750000.0,56,444000,a) LANCAR
355,PEDAGANG,4500000.0,DIFFERENT,6000000,1000000.0,31,308000,a) LANCAR
356,PEDAGANG,3000000.0,DIFFERENT,9800000,1500000.0,25,615000,a) LANCAR
357,PRODUKSI,2500000.0,DIFFERENT,5600000,2500000.0,22,556000,a) LANCAR
358,PEDAGANG,3500000.0,SAME,10500000,2500000.0,48,533000,a) LANCAR
359,JASA,2500000.0,DIFFERENT,9000000,3000000.0,29,603000,a) LANCAR
360,PEDAGANG,2000000.0,DIFFERENT,5200000,2000000.0,57,411000,a) LANCAR
361,PEDAGANG,5500000.0,DIFFERENT,4500000,2500000.0,40,308000,a) LANCAR
362,BURUH/PRT,2500000.0,DIFFERENT,6600000,,32,312000,a) LANCAR
363,PETANI,5000000.0,DIFFERENT,10000000,3000000.0,52,748000,a) LANCAR
364,PETANI,5000000.0,DIFFERENT,12100000,3000000.0,52,856000,c) 1-30
365,PETANI,5000000.0,DIFFERENT,24200000,2500000.0,38,1399000,a) LANCAR
366,PETERNAK,2400000.0,DIFFERENT,4000000,1200000.0,38,335000,a) LANCAR
367,PEDAGANG,4000000.0,SAME,7700000,1250000.0,27,475000,a) LANCAR
368,PEDAGANG,4500000.0,DIFFERENT,16000000,1500000.0,40,727000,a) LANCAR
369,PEDAGANG,3000000.0,DIFFERENT,5500000,,32,411000,a) LANCAR
370,PEDAGANG,5500000.0,DIFFERENT,9500000,1600000.0,32,809000,a) LANCAR
371,PEGAWAI SWASTA,5500000.0,DIFFERENT,3800000,,26,397000,c) 1-30
372,PEDAGANG,3000000.0,DIFFERENT,16800000,900000.0,57,362000,a) LANCAR
373,GURU/PENDIDIKAN,3500000.0,SAME,9100000,1250000.0,43,683000,a) LANCAR
374,SEWA/RENT,3500000.0,DIFFERENT,7400000,1000000.0,25,563000,c) 1-30
375,SEWA/RENT,3500000.0,DIFFERENT,10500000,1000000.0,25,780000,c) 1-30
376,PEDAGANG,6000000.0,SAME,8000000,900000.0,49,552000,a) LANCAR
377,PEGAWAI SWASTA,4500000.0,SAME,9000000,,60,475000,a) LANCAR
378,APARATUR PEMERINTAH,4500000.0,SAME,15200000,1500000.0,48,548000,c) 1-30
379,PEGAWAI NEGERI/BUMN,3000000.0,DIFFERENT,8000000,1750000.0,32,454000,a) LANCAR
380,SOPIR/PENGEMUDI,5000000.0,DIFFERENT,8000000,3500000.0,52,362000,a) LANCAR
381,BURUH/PRT,2500000.0,DIFFERENT,8200000,3000000.0,33,447000,c) 1-30
382,PETERNAK,2500000.0,DIFFERENT,10500000,2500000.0,39,572000,a) LANCAR
383,PEDAGANG,3000000.0,DIFFERENT,8200000,1500000.0,24,422000,a) LANCAR
384,PETERNAK,5000000.0,DIFFERENT,5900000,2500000.0,32,362000,c) 1-30
385,PEDAGANG,2500000.0,DIFFERENT,6200000,2500000.0,26,487000,c) 1-30
386,PEDAGANG,3500000.0,DIFFERENT,7600000,3000000.0,23,308000,a) LANCAR
387,PETANI,3500000.0,DIFFERENT,6000000,0.0,59,353000,a) LANCAR
388,BURUH/PRT,2500000.0,SAME,8600000,2500000.0,49,475000,a) LANCAR
389,PEDAGANG,3500000.0,DIFFERENT,9400000,2500000.0,30,629000,a) LANCAR
390,PEDAGANG,2500000.0,DIFFERENT,3600000,2500000.0,25,308000,a) LANCAR
391,JASA,2500000.0,DIFFERENT,5100000,,33,308000,a) LANCAR
392,PEDAGANG,3500000.0,DIFFERENT,8100000,,35,520000,a) LANCAR
393,PETERNAK,3500000.0,DIFFERENT,9000000,3000000.0,41,435000,a) LANCAR
394,PEDAGANG,3000000.0,DIFFERENT,15900000,8000000.0,49,393000,a) LANCAR
395,PEDAGANG,3500000.0,DIFFERENT,5600000,4500000.0,35,444000,c) 1-30
396,PEGAWAI SWASTA,2500000.0,SAME,6100000,2500000.0,36,515000,a) LANCAR
397,PEDAGANG,3500000.0,DIFFERENT,8000000,3500000.0,43,384000,a) LANCAR
398,PEDAGANG,3500000.0,DIFFERENT,8900000,3500000.0,27,629000,a) LANCAR
399,APARATUR PEMERINTAH,3500000.0,SAME,8700000,1500000.0,46,629000,a) LANCAR
400,PEDAGANG,3500000.0,DIFFERENT,9000000,,38,533000,a) LANCAR
401,PEDAGANG,4500000.0,DIFFERENT,11400000,,23,605000,a) LANCAR
402,PETANI,4000000.0,DIFFERENT,9900000,,44,308000,a) LANCAR
403,JASA,4500000.0,DIFFERENT,9800000,2500000.0,42,615000,a) LANCAR
404,PEGAWAI SWASTA,4500000.0,DIFFERENT,19700000,,25,944000,a) LANCAR
405,PEDAGANG,4000000.0,DIFFERENT,15200000,2000000.0,39,965000,c) 1-30
406,PRODUKSI,2500000.0,DIFFERENT,13700000,5000000.0,34,856000,c) 1-30
407,PEDAGANG,2500000.0,SAME,5800000,2500000.0,46,312000,c) 1-30
408,PEDAGANG,3500000.0,DIFFERENT,13300000,4500000.0,48,888000,c) 1-30
409,PETANI,4000000.0,DIFFERENT,11200000,2500000.0,47,1095000,c) 1-30
410,PEGAWAI SWASTA,2500000.0,DIFFERENT,7200000,,22,393000,a) LANCAR
411,PEGAWAI SWASTA,250000.0,DIFFERENT,4000000,2500000.0,34,308000,c) 1-30
412,PEDAGANG,3500000.0,DIFFERENT,7200000,3500000.0,54,393000,a) LANCAR
413,PEGAWAI SWASTA,4000000.0,DIFFERENT,11200000,3500000.0,41,844000,c) 1-30
414,PEGAWAI SWASTA,3000000.0,DIFFERENT,5900000,1500000.0,37,362000,a) LANCAR
415,BURUH/PRT,3500000.0,SAME,9800000,2000000.0,55,548000,a) LANCAR
416,PEGAWAI SWASTA,2500000.0,SAME,8600000,2500000.0,26,475000,a) LANCAR
417,PETERNAK,3000000.0,DIFFERENT,6700000,1500000.0,44,466000,a) LANCAR
418,PEGAWAI SWASTA,2500000.0,DIFFERENT,11700000,,22,693000,a) LANCAR
419,PEGAWAI SWASTA,2500000.0,DIFFERENT,8000000,2500000.0,26,742000,a) LANCAR
420,LAIN-LAIN,3500000.0,SAME,7700000,2500000.0,42,629000,a) LANCAR
421,PEGAWAI SWASTA,2500000.0,DIFFERENT,5300000,,22,515000,a) LANCAR
422,PEDAGANG,2500000.0,DIFFERENT,8600000,3500000.0,30,629000,a) LANCAR
423,PETANI,3000000.0,DIFFERENT,9800000,2000000.0,39,693000,a) LANCAR
424,PEDAGANG,2500000.0,DIFFERENT,9400000,1000000.0,35,540000,a) LANCAR
425,PEDAGANG,2500000.0,DIFFERENT,8300000,,25,719000,a) LANCAR
426,PEDAGANG,3500000.0,DIFFERENT,11800000,,27,748000,a) LANCAR
427,PEDAGANG,3500000.0,DIFFERENT,9000000,,27,629000,a) LANCAR
428,PRODUKSI,3000000.0,DIFFERENT,7500000,,23,312000,a) LANCAR
429,PEDAGANG,3000000.0,DIFFERENT,8200000,1500000.0,46,574000,a) LANCAR
430,PEGAWAI SWASTA,3500000.0,DIFFERENT,9700000,,30,651000,c) 1-30
431,PEGAWAI SWASTA,4500000.0,DIFFERENT,8300000,2500000.0,32,883000,c) 1-30
432,PETANI,4500000.0,DIFFERENT,16400000,4000000.0,45,1095000,a) LANCAR
433,PEDAGANG,2500000.0,DIFFERENT,4500000,2500000.0,50,308000,a) LANCAR
434,PEDAGANG,5000000.0,DIFFERENT,12300000,1000000.0,58,788000,a) LANCAR
435,PEGAWAI SWASTA,3000000.0,SAME,12300000,,32,635000,a) LANCAR
436,PETERNAK,2200000.0,DIFFERENT,8200000,1800000.0,30,301000,a) LANCAR
437,PRODUKSI,2300000.0,SAME,13500000,,26,613000,a) LANCAR
438,PEDAGANG,2500000.0,DIFFERENT,4800000,1500000.0,34,343000,c) 1-30
439,PEDAGANG,3000000.0,DIFFERENT,14000000,,24,835000,a) LANCAR
440,BURUH/PRT,2500000.0,DIFFERENT,6700000,2500000.0,31,401000,a) LANCAR
441,PRODUKSI,3500000.0,SAME,12500000,2000000.0,56,362000,a) LANCAR
442,JASA,4000000.0,DIFFERENT,14900000,1500000.0,39,878000,a) LANCAR
443,PEDAGANG,4000000.0,DIFFERENT,8700000,900000.0,33,502000,a) LANCAR
444,APARATUR PEMERINTAH,3500000.0,DIFFERENT,12000000,2000000.0,32,729000,a) LANCAR
445,DOKTER/BIDAN/MANTRI,4000000.0,SAME,13800000,2500000.0,32,669000,a) LANCAR
446,PEDAGANG,4000000.0,DIFFERENT,7500000,2500000.0,35,809000,a) LANCAR
447,PEDAGANG,4000000.0,DIFFERENT,14500000,3000000.0,48,748000,a) LANCAR
448,SEWA/RENT,3000000.0,SAME,12000000,1000000.0,35,629000,a) LANCAR
449,PEGAWAI SWASTA,3500000.0,DIFFERENT,11500000,2500000.0,54,613000,a) LANCAR
450,PEGAWAI SWASTA,2500000.0,SAME,9300000,,27,362000,a) LANCAR
451,SOPIR/PENGEMUDI,4000000.0,DIFFERENT,12700000,3000000.0,35,624000,a) LANCAR
452,SOPIR/PENGEMUDI,4000000.0,DIFFERENT,18600000,3000000.0,35,715000,a) LANCAR
453,PETANI,3500000.0,DIFFERENT,8000000,,53,635000,a) LANCAR
454,PEDAGANG,4000000.0,DIFFERENT,5400000,3000000.0,40,352000,a) LANCAR
455,PENGRAJIN TANGAN,2500000.0,DIFFERENT,13300000,,29,693000,a) LANCAR
456,PRODUKSI,2500000.0,DIFFERENT,12500000,2500000.0,28,349000,c) 1-30
457,PETANI,3500000.0,DIFFERENT,4100000,2500000.0,41,308000,a) LANCAR
458,PEDAGANG,3500000.0,DIFFERENT,9300000,2000000.0,44,520000,e) 61-90
459,PEDAGANG,3500000.0,DIFFERENT,8300000,3000000.0,23,454000,a) LANCAR
460,TRANSPORTASI & KOMUNIKASI,3000000.0,DIFFERENT,4700000,1500000.0,32,308000,a) LANCAR
461,PEDAGANG,3500000.0,DIFFERENT,12000000,2000000.0,40,629000,a) LANCAR
462,PEDAGANG,4000000.0,DIFFERENT,9300000,2000000.0,31,526000,a) LANCAR
463,IBU RUMAH TANGGA,2500000.0,DIFFERENT,12500000,2500000.0,26,435000,a) LANCAR
464,PEGAWAI SWASTA,4000000.0,DIFFERENT,8300000,2000000.0,40,454000,a) LANCAR
465,PEGAWAI SWASTA,3000000.0,SAME,13500000,,32,651000,a) LANCAR
466,PEDAGANG,3750000.0,SAME,12100000,2000000.0,53,435000,a) LANCAR
467,PEGAWAI NEGERI/BUMN,4000000.0,DIFFERENT,5100000,1000000.0,54,322000,a) LANCAR
468,PEGAWAI SWASTA,2500000.0,DIFFERENT,9100000,2500000.0,40,520000,a) LANCAR
469,DOKTER/BIDAN/MANTRI,4000000.0,DIFFERENT,14700000,2500000.0,32,583000,a) LANCAR
470,LAIN-LAIN,3000000.0,DIFFERENT,7700000,,28,386000,a) LANCAR
471,PENGRAJIN TANGAN,2400000.0,DIFFERENT,10000000,1000000.0,40,520000,e) 61-90
472,PEDAGANG,3000000.0,SAME,10100000,,28,1095000,c) 1-30
473,PENGRAJIN TANGAN,2500000.0,DIFFERENT,9300000,2000000.0,44,507000,e) 61-90
474,PEDAGANG,3000000.0,SAME,8100000,2500000.0,56,520000,a) LANCAR
475,PEGAWAI SWASTA,3500000.0,DIFFERENT,9700000,2000000.0,43,520000,c) 1-30
476,PEDAGANG,3000000.0,SAME,13000000,,24,977000,d) 31-60
477,BURUH/PRT,2500000.0,SAME,4500000,,24,580000,a) LANCAR
478,PENGRAJIN TANGAN,4500000.0,DIFFERENT,24000000,,27,835000,c) 1-30
479,BURUH/PRT,5000000.0,DIFFERENT,8500000,2500000.0,37,417000,a) LANCAR
480,JASA,3500000.0,DIFFERENT,13000000,,31,1256000,d) 31-60
481,JASA,4000000.0,DIFFERENT,12000000,3000000.0,40,570000,a) LANCAR
482,APARATUR PEMERINTAH,4000000.0,DIFFERENT,12000000,3000000.0,32,666000,c) 1-30
483,LAIN-LAIN,4500000.0,DIFFERENT,26000000,4000000.0,33,2195000,e) 61-90
484,DOKTER/BIDAN/MANTRI,4000000.0,SAME,15700000,2500000.0,32,613000,a) LANCAR
485,SOPIR/PENGEMUDI,2500000.0,SAME,13500000,1000000.0,51,804000,a) LANCAR
486,PEGAWAI SWASTA,3000000.0,DIFFERENT,9700000,,27,393000,a) LANCAR
487,PEGAWAI SWASTA,3000000.0,SAME,11700000,1500000.0,24,393000,a) LANCAR
488,PENGRAJIN TANGAN,2500000.0,DIFFERENT,18000000,2000000.0,44,941000,e) 61-90
489,PETANI,3500000.0,DIFFERENT,9500000,,53,662000,a) LANCAR
490,PEDAGANG,3500000.0,DIFFERENT,7400000,1000000.0,44,362000,c) 1-30
491,PEGAWAI SWASTA,3000000.0,DIFFERENT,12500000,1500000.0,48,693000,a) LANCAR
492,PETANI,3500000.0,DIFFERENT,12500000,2500000.0,46,676000,c) 1-30
493,PEDAGANG,3000000.0,SAME,15100000,3500000.0,50,1110000,a) LANCAR
494,PEDAGANG,1800000.0,SAME,13000000,2500000.0,30,782000,c) 1-30
495,JASA,4500000.0,DIFFERENT,12000000,500000.0,43,635000,a) LANCAR
496,PEGAWAI SWASTA,2200000.0,DIFFERENT,10000000,1900000.0,35,520000,a) LANCAR
497,PEDAGANG,3500000.0,SAME,11000000,1500000.0,56,676000,c) 1-30
498,JASA,5000000.0,DIFFERENT,14900000,2500000.0,35,605000,a) LANCAR
499,PEGAWAI SWASTA,2500000.0,DIFFERENT,12500000,,50,509000,a) LANCAR
500,PETANI,3000000.0,DIFFERENT,11500000,3500000.0,54,613000,a) LANCAR
501,PEGAWAI SWASTA,3500000.0,DIFFERENT,14800000,2500000.0,43,1390000,a) LANCAR
502,BURUH/PRT,3000000.0,DIFFERENT,11000000,2500000.0,39,349000,a) LANCAR
503,PEGAWAI SWASTA,3000000.0,DIFFERENT,9300000,,27,507000,a) LANCAR
504,PEDAGANG,3500000.0,DIFFERENT,27000000,2500000.0,45,1478000,a) LANCAR
505,PEDAGANG,4500000.0,DIFFERENT,15700000,3500000.0,55,1095000,a) LANCAR
506,JASA,3000000.0,SAME,6200000,2500000.0,59,401000,a) LANCAR
507,PEDAGANG,2500000.0,DIFFERENT,5300000,1500000.0,40,301000,c) 1-30
508,SOPIR/PENGEMUDI,3500000.0,SAME,16100000,,46,411000,c) 1-30
509,PEGAWAI SWASTA,2500000.0,SAME,7800000,2500000.0,37,343000,c) 1-30
510,PEGAWAI SWASTA,3500000.0,DIFFERENT,14700000,,25,782000,c) 1-30
511,PEDAGANG,2500000.0,SAME,5000000,,39,308000,a) LANCAR
512,PEGAWAI SWASTA,2000000.0,DIFFERENT,8800000,4000000.0,29,454000,a) LANCAR
513,PEDAGANG,3500000.0,SAME,11000000,,43,676000,a) LANCAR
514,PEDAGANG,2500000.0,DIFFERENT,8500000,1500000.0,45,377000,a) LANCAR
515,PEGAWAI SWASTA,3000000.0,DIFFERENT,12900000,2000000.0,38,411000,a) LANCAR
516,PEGAWAI SWASTA,3500000.0,DIFFERENT,12200000,2500000.0,41,744000,a) LANCAR
517,SEWA/RENT,3500000.0,DIFFERENT,9700000,,25,904000,a) LANCAR
518,PETANI,4500000.0,DIFFERENT,11500000,2500000.0,25,475000,a) LANCAR
519,PEDAGANG,3500000.0,SAME,14500000,2500000.0,52,645000,a) LANCAR
520,PETANI,3500000.0,DIFFERENT,11000000,,41,475000,a) LANCAR
521,PEGAWAI SWASTA,3500000.0,DIFFERENT,8500000,2500000.0,38,423000,a) LANCAR
522,PEDAGANG,2500000.0,DIFFERENT,7800000,,30,349000,a) LANCAR
523,PEDAGANG,3000000.0,SAME,5800000,2500000.0,48,406000,a) LANCAR
524,PEGAWAI SWASTA,2500000.0,DIFFERENT,8500000,2500000.0,39,507000,a) LANCAR
525,PEGAWAI SWASTA,3000000.0,SAME,6300000,3500000.0,27,401000,a) LANCAR
526,PEDAGANG,3000000.0,DIFFERENT,8000000,2500000.0,32,466000,a) LANCAR
527,PETANI,3500000.0,SAME,13800000,2500000.0,50,564000,a) LANCAR
528,PEGAWAI SWASTA,3000000.0,DIFFERENT,11500000,0.0,25,533000,c) 1-30
529,PEGAWAI SWASTA,3500000.0,SAME,16800000,1500000.0,30,560000,a) LANCAR
530,PETANI,3500000.0,DIFFERENT,15700000,2500000.0,40,564000,c) 1-30
531,PEDAGANG,3000000.0,DIFFERENT,4700000,,57,308000,a) LANCAR
532,SOPIR/PENGEMUDI,3000000.0,DIFFERENT,12600000,,35,308000,a) LANCAR
533,PETANI,3000000.0,DIFFERENT,11000000,2500000.0,52,748000,c) 1-30
534,PRODUKSI,3000000.0,DIFFERENT,13000000,,24,814000,a) LANCAR
535,PEGAWAI SWASTA,3000000.0,SAME,3500000,,25,308000,a) LANCAR
536,PEDAGANG,8000000.0,SAME,28300000,,40,3218000,a) LANCAR
537,PEGAWAI SWASTA,2200000.0,DIFFERENT,6300000,1900000.0,35,444000,a) LANCAR
538,JASA,2500000.0,DIFFERENT,8000000,2500000.0,29,382000,d) 31-60
539,PEGAWAI SWASTA,3500000.0,DIFFERENT,12000000,3000000.0,31,475000,c) 1-30
540,PEGAWAI SWASTA,4000000.0,SAME,7300000,1000000.0,39,401000,c) 1-30
541,PETERNAK,4000000.0,DIFFERENT,12000000,,32,629000,a) LANCAR
542,JASA,2500000.0,DIFFERENT,7000000,,36,761000,a) LANCAR
543,JASA,6000000.0,DIFFERENT,32000000,3500000.0,49,1095000,a) LANCAR
544,PEGAWAI SWASTA,2500000.0,SAME,9000000,2500000.0,35,312000,a) LANCAR
545,GURU/PENDIDIKAN,3000000.0,DIFFERENT,4000000,2500000.0,30,438000,a) LANCAR
546,PRODUKSI,2300000.0,SAME,12500000,,26,707000,a) LANCAR
547,PENGRAJIN TANGAN,3000000.0,DIFFERENT,5900000,3000000.0,56,303000,a) LANCAR
548,PEGAWAI SWASTA,3000000.0,DIFFERENT,5000000,2500000.0,26,362000,a) LANCAR
549,PEDAGANG,3000000.0,DIFFERENT,6300000,,29,411000,a) LANCAR
550,PEDAGANG,2500000.0,DIFFERENT,5600000,,24,401000,a) LANCAR
551,PEDAGANG,3500000.0,SAME,8200000,2500000.0,58,629000,a) LANCAR
552,PEGAWAI SWASTA,2500000.0,DIFFERENT,8600000,3000000.0,35,629000,a) LANCAR
553,PEGAWAI SWASTA,2500000.0,DIFFERENT,15000000,,25,835000,a) LANCAR
554,PEDAGANG,2500000.0,SAME,3400000,2500000.0,34,308000,a) LANCAR
555,LAIN-LAIN,4500000.0,DIFFERENT,22800000,2000000.0,33,2567000,c) 1-30
556,PEGAWAI SWASTA,2500000.0,DIFFERENT,3500000,,23,308000,a) LANCAR
557,PETANI,2500000.0,SAME,9400000,,40,714000,a) LANCAR
558,PEGAWAI SWASTA,2500000.0,DIFFERENT,16000000,2500000.0,36,629000,c) 1-30
559,PEGAWAI SWASTA,2500000.0,DIFFERENT,8000000,2500000.0,26,628000,a) LANCAR
560,PEDAGANG,2500000.0,DIFFERENT,17800000,,55,475000,a) LANCAR
561,PETANI,2800000.0,DIFFERENT,3800000,2000000.0,56,322000,a) LANCAR
562,PEDAGANG,3000000.0,DIFFERENT,3800000,2500000.0,32,308000,c) 1-30
563,JASA,3500000.0,DIFFERENT,7000000,,24,308000,d) 31-60
564,PEGAWAI SWASTA,3000000.0,DIFFERENT,12100000,2500000.0,41,725000,a) LANCAR
565,PEGAWAI SWASTA,2500000.0,DIFFERENT,6600000,2500000.0,46,509000,a) LANCAR
566,PEGAWAI SWASTA,2500000.0,DIFFERENT,4000000,2500000.0,50,352000,a) LANCAR
567,PEGAWAI SWASTA,2500000.0,DIFFERENT,7800000,2500000.0,35,466000,a) LANCAR
568,PETERNAK,2500000.0,DIFFERENT,3400000,2500000.0,39,301000,a) LANCAR
569,JASA,3500000.0,DIFFERENT,6300000,,27,714000,a) LANCAR
570,KESEHATAN,3500000.0,DIFFERENT,6000000,,33,411000,a) LANCAR
571,SOPIR/PENGEMUDI,3000000.0,DIFFERENT,4200000,2500000.0,36,441000,a) LANCAR
572,PEGAWAI SWASTA,2500000.0,DIFFERENT,5200000,,28,354000,a) LANCAR
573,PEDAGANG,3500000.0,DIFFERENT,7000000,,43,459000,a) LANCAR
574,PEDAGANG,3500000.0,DIFFERENT,5200000,2500000.0,50,401000,a) LANCAR
575,PRODUKSI,2500000.0,DIFFERENT,3400000,2500000.0,28,308000,c) 1-30
576,PEGAWAI SWASTA,2500000.0,DIFFERENT,6600000,,25,384000,a) LANCAR
577,JASA,6000000.0,DIFFERENT,20000000,3500000.0,43,1357000,a) LANCAR
578,PEGAWAI SWASTA,3000000.0,DIFFERENT,5600000,2500000.0,26,353000,a) LANCAR
579,PEDAGANG,3000000.0,SAME,9400000,2500000.0,48,564000,c) 1-30
580,PEDAGANG,4000000.0,DIFFERENT,5600000,1000000.0,42,303000,c) 1-30
581,PEDAGANG,2500000.0,DIFFERENT,7700000,2500000.0,31,393000,a) LANCAR
582,PEDAGANG,5000000.0,SAME,9500000,,33,462000,a) LANCAR
583,DOKTER/BIDAN/MANTRI,3000000.0,DIFFERENT,8200000,,28,393000,a) LANCAR
584,PETANI,3000000.0,DIFFERENT,10000000,3500000.0,42,362000,a) LANCAR
585,PETANI,2000000.0,DIFFERENT,9800000,,50,362000,c) 1-30
586,PETANI,2000000.0,DIFFERENT,4200000,,49,352000,c) 1-30
587,PEGAWAI SWASTA,2500000.0,DIFFERENT,6000000,2500000.0,52,454000,c) 1-30
588,PEDAGANG,2000000.0,DIFFERENT,4700000,2500000.0,55,535000,c) 1-30
589,PEDAGANG,3000000.0,SAME,5300000,4000000.0,29,412000,c) 1-30
590,DOKTER/BIDAN/MANTRI,2000000.0,DIFFERENT,4300000,2000000.0,50,335000,c) 1-30
591,LAIN-LAIN,2500000.0,SAME,7500000,2400000.0,48,401000,a) LANCAR
592,LAIN-LAIN,2500000.0,SAME,8600000,4000000.0,28,525000,a) LANCAR
593,LAIN-LAIN,3500000.0,DIFFERENT,13200000,,51,715000,a) LANCAR
594,PETANI,2000000.0,SAME,9000000,1000000.0,49,999000,e) 61-90
595,PETANI,2000000.0,DIFFERENT,4000000,3000000.0,47,308000,a) LANCAR
596,PETANI,3000000.0,SAME,7800000,,53,613000,a) LANCAR
597,LAIN-LAIN,3500000.0,DIFFERENT,5500000,2500000.0,58,301000,a) LANCAR
