,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
70,PEGAWAI SWASTA,3500000.0,DIFFERENT,4900000,,28,385000,a) LANCAR
71,PEDAGANG,3500000.0,DIFFERENT,6000000,900000.0,27,336000,a) LANCAR
72,PEGAWAI SWASTA,4500000.0,DIFFERENT,6500000,1000000.0,33,515000,a) LANCAR
73,PEDAGANG,3500000.0,DIFFERENT,8600000,,38,769000,a) LANCAR
74,BURUH/PRT,4500000.0,DIFFERENT,9000000,2000000.0,49,1095000,a) LANCAR
75,PEDAGANG,2500000.0,DIFFERENT,8600000,,23,533000,a) LANCAR
76,PEDAGANG,2000000.0,DIFFERENT,9500000,1000000.0,31,523000,a) LANCAR
77,PEDAGANG,3000000.0,DIFFERENT,3800000,,23,308000,a) LANCAR
78,PETANI,4000000.0,DIFFERENT,4000000,1100000.0,39,301000,a) LANCAR
79,BURUH/PRT,2500000.0,DIFFERENT,7000000,1000000.0,32,393000,a) LANCAR
80,PEGAWAI SWASTA,5000000.0,DIFFERENT,9800000,1600000.0,35,615000,a) LANCAR
81,PEGAWAI SWASTA,5000000.0,DIFFERENT,10700000,1000000.0,36,809000,a) LANCAR
82,GURU/PENDIDIKAN,3500000.0,DIFFERENT,9400000,1750000.0,36,509000,a) LANCAR
83,PEGAWAI SWASTA,4500000.0,SAME,7600000,,31,560000,a) LANCAR
84,PEDAGANG,4500000.0,DIFFERENT,10700000,1500000.0,49,564000,a) LANCAR
85,JASA,2500000.0,SAME,6800000,,56,466000,a) LANCAR
86,PETANI,5000000.0,SAME,6700000,1000000.0,54,507000,a) LANCAR
87,PEGAWAI NEGERI/BUMN,5500000.0,DIFFERENT,9200000,2500000.0,41,507000,a) LANCAR
88,PEGAWAI SWASTA,5000000.0,DIFFERENT,4800000,1600000.0,38,362000,a) LANCAR
89,PEDAGANG,3500000.0,DIFFERENT,7000000,,56,393000,a) LANCAR
90,JASA,3500000.0,DIFFERENT,9600000,900000.0,41,523000,a) LANCAR
91,BURUH/PRT,3500000.0,DIFFERENT,20200000,1500000.0,42,941000,c) 1-30
92,PEDAGANG,4000000.0,SAME,7200000,1500000.0,57,393000,a) LANCAR
93,PEDAGANG,3000000.0,DIFFERENT,5800000,1500000.0,23,344000,a) LANCAR
94,PEGAWAI SWASTA,2300000.0,DIFFERENT,9800000,,22,629000,a) LANCAR
95,BURUH/PRT,6000000.0,DIFFERENT,7000000,,27,441000,a) LANCAR
96,JASA,3500000.0,DIFFERENT,4800000,1500000.0,35,395000,a) LANCAR
97,PEDAGANG,5000000.0,DIFFERENT,6800000,1000000.0,37,411000,a) LANCAR
98,BURUH/PRT,2300000.0,DIFFERENT,12700000,,23,645000,d) 31-60
